"2MASSID		",Epoch(JD),RV(prim),RV(sec),Residuals
03400448+3118568,2456168.941,-59.6201,110.2436,10.618
03400448+3118568,2456170.899,-71.1024,102.8982,2.7077
03400448+3118568,2456171.976,86.2585,-60.3454,5.8935
03400448+3118568,2456172.974,97.7106,-68.6548,3.6113
03400448+3118568,2456174.926,-59.7159,94.4992,0.5351
03400448+3118568,2456235.774,-69.3255,101.3357,2.5459
03400448+3118568,2456262.683,-63.7469,103.0803,2.6439
03400448+3118568,2456282.621,-66.7062,99.0915,2.2659
03400448+3118568,2456283.624,83.4206,-48.1338,0.6889
03400448+3118568,2456561.992,94.7872,-54.341,4.3905
03400448+3118568,2456669.674,-68.6401,101.0181,2.2828
03400448+3118568,2456673.564,103.4837,-61.6951,5.3885
03400448+3118568,2456675.565,-59.0609,94.683,0.0594
03400448+3118568,2456701.589,-56.4204,92.5739,0.4496
03400448+3118568,2456703.59,-69.0343,97.0895,5.3287
03400448+3118568,2456706.602,-38.3582,75.0412,0.9321
03423215+3229291,2456168.941(f),-54.4607,-6.0793,1.009
03423215+3229291,2456170.899,-36.5079,-24.045,0.5514
03423215+3229291,2456171.976,-32.6806,-30.5378,0.8789
03423215+3229291,2456172.974(f),-18.4384,-46.2352,0.5977
03423215+3229291,2456174.926(f),-7.4583,-57.4344,0.2168
03423215+3229291,2456235.774(f),-46.9588,-11.9701,0.7133
03423215+3229291,2456262.683(f),-6.5451,-57.0975,1.1242
03423215+3229291,2456282.621(f),-47.9483,-10.8143,0.7369
03423215+3229291,2456283.624(f),-25.5576,-39.5967,1.5381
03423215+3229291,2456561.992(f),-16.9036,-46.4069,0.4389
03423215+3229291,2456669.674(f),-53.7039,-4.3161,0.7256
03423215+3229291,2456673.564(f),-21.5331,-43.4303,1.06
03423215+3229291,2456675.565(f),-6.4882,-57.4378,0.9416
03423215+3229291,2456701.589(f),-7.1758,-58.0728,0.0058
03423215+3229291,2456703.590(f),-18.1338,-46.3151,0.4223
03423215+3229291,2456706.602(f),-10.7666,-53.9389,0.0516
03434101+3237320,2456168.941,14.9872,29.2579,0.2784
03434101+3237320,2456170.899,-62.0693,111.9338,0.336
03434101+3237320,2456171.976(f),-21.8202,64.4597,2.9268
03434101+3237320,2456172.974,21.4601,22.2449,0.3767
03434101+3237320,2456174.926,59.0616,-19.3463,1.5321
03434101+3237320,2456235.774(f),1.5576,48.4759,3.1266
03434101+3237320,2456262.683,51.9441,-8.8907,0.4579
03434101+3237320,2456282.621,62.0353,-22.6119,1.6073
03434101+3237320,2456283.624,53.9683,-12.5758,0.596
03434101+3237320,2456561.992,-54.7964,100.9293,1.9174
03434101+3237320,2456669.674(f),36.1237,10.3618,2.1465
03434101+3237320,2456673.564,60.6108,-21.6966,2.0163
03434101+3237320,2456675.565(f),25.7404,18.0957,0.1069
03434101+3237320,2456701.589,44.3594,5.3583,4.7093
03434101+3237320,2456703.59,63.2061,-24.3126,1.9214
03434101+3237320,2456706.602,44.8237,1.6485,2.5031
03441568+3231282,2456168.941(f),39.4437,-2.4602,0.8605
03441568+3231282,2456170.899(f),-34.731,72.9688,0.1872
03441568+3231282,2456171.976(f),-33.8179,69.7346,1.4106
03441568+3231282,2456172.974(f),-16.8194,55.1648,0.6357
03441568+3231282,2456174.926,17.1531,17.404,1.2946
03441568+3231282,2456235.774,17.6785,17.8559,0.6029
03441568+3231282,2456262.683(f),-34.0837,73.6117,1.0994
03441568+3231282,2456282.621(f),2.0855,35.4331,0.4541
03441568+3231282,2456283.624(f),-11.3252,49.0601,0.325
03441568+3231282,2456561.992(f),-10.9491,48.7789,0.399
03441568+3231282,2456669.674(f),6.9284,27.7406,1.4299
03441568+3231282,2456673.564(f),-34.6754,73.0244,0.2658
03441568+3231282,2456675.565(f),-15.7954,53.4299,0.1619
03441568+3231282,2456701.589(f),29.0995,8.247,0.8976
03441568+3231282,2456703.590(f),-33.3341,70.2227,0.7235
03441568+3231282,2456706.602(f),-6.1985,43.565,0.1753
03424086+3213347,2456168.941,6.6755,76.0685,4.4137
03424086+3213347,2456170.899,35.3001,-34.7748,0.0954
03424086+3213347,2456171.976,7.0777,76.0693,4.0205
03424086+3213347,2456172.974,6.3685,74.989,4.9423
03424086+3213347,2456174.926,3.8162,73.3525,7.7832
03424086+3213347,2456235.774,36.6115,-31.1282,2.1491
03424086+3213347,2456262.683,34.8407,-43.7158,2.2465
03424086+3213347,2456282.621,35.8736,-34.9238,0.6243
